claim_id,label,domain,text,winner_language,differential,spread,mapped_score,mapped_basis,ppl_de,ppl_es,ppl_fr,ppl_ja,ppl_pt,ppl_en,logprob_de,logprob_es,logprob_fr,logprob_ja,logprob_pt,logprob_en,tokens_de,tokens_es,tokens_fr,tokens_ja,tokens_pt,tokens_en,model,timestamp
82,STALE,TECHNICAL,"Heroku offers a free tier for hobby projects.",en,0.033226,0.079848,0.1678,SPECULATION,1.1541,1.3344,1.2604,1.1180,1.3138,1.0847,-0.1433,-0.2885,-0.2314,-0.1115,-0.2730,-0.0813,12,11,11,18,13,10,gpt-4o-mini,2026-02-17T20:51:32.153Z
83,STALE,GENERAL,"Russia is the largest supplier of natural gas to Europe.",ja,0.003781,0.043661,0.1285,SPECULATION,1.0430,1.1666,1.0860,1.0304,1.0342,1.0773,-0.0421,-0.1541,-0.0825,-0.0299,-0.0336,-0.0745,13,12,15,22,13,11,gpt-4o-mini,2026-02-17T20:51:35.101Z
84,STALE,BUSINESS,"Silicon Valley Bank is one of the top 20 banks in the United States.",de,0.023256,0.047608,0.1425,SPECULATION,1.0110,1.0979,1.1154,1.1611,1.1226,1.0343,-0.0110,-0.0934,-0.1092,-0.1493,-0.1157,-0.0337,17,16,15,20,15,16,gpt-4o-mini,2026-02-17T20:51:38.732Z
85,STALE,BUSINESS,"FTX is a leading cryptocurrency exchange.",de,0.030605,0.061491,0.1553,SPECULATION,1.0089,1.1638,1.1966,1.0553,1.0937,1.0395,-0.0089,-0.1517,-0.1795,-0.0538,-0.0895,-0.0388,10,17,23,14,15,10,gpt-4o-mini,2026-02-17T20:51:41.799Z
86,STALE,REGULATORY,"The WHO classifies COVID-19 as a global pandemic.",pt,0.025931,0.054338,0.1482,SPECULATION,1.1423,1.2022,1.1477,1.0558,1.0298,1.0720,-0.1331,-0.1842,-0.1378,-0.0543,-0.0294,-0.0696,12,13,13,17,13,13,gpt-4o-mini,2026-02-17T20:51:44.704Z
87,STALE,BUSINESS,"Global supply chain disruptions are causing widespread semiconductor shortages.",fr,0.007112,0.126206,0.3285,PATTERN_MATCH,1.0671,1.4815,1.0599,1.1772,1.3755,1.1964,-0.0649,-0.3930,-0.0582,-0.1631,-0.3188,-0.1793,23,37,25,25,34,14,gpt-4o-mini,2026-02-17T20:51:47.794Z
88,STALE,TECHNICAL,"CentOS is a free enterprise Linux distribution supported by Red Hat.",de,0.012039,0.143550,0.3344,PATTERN_MATCH,1.0386,1.0647,1.0589,1.0507,1.5011,1.1321,-0.0379,-0.0627,-0.0573,-0.0494,-0.4062,-0.1241,18,16,16,28,17,17,gpt-4o-mini,2026-02-17T20:51:51.635Z
89,STALE,REGULATORY,"The Paris Agreement commits nations to limiting warming to 1.5 degrees Celsius.",de,0.044735,0.118514,0.3737,PATTERN_MATCH,1.0369,1.1114,1.4190,1.1249,1.3327,1.0816,-0.0362,-0.1056,-0.3499,-0.1177,-0.2872,-0.0784,26,29,42,30,28,20,gpt-4o-mini,2026-02-17T20:52:04.160Z
90,STALE,BUSINESS,"Zoom is primarily used as a video conferencing tool for remote work during the pandemic.",de,0.025234,0.140259,0.3503,PATTERN_MATCH,1.1862,1.6420,1.2209,1.2115,1.6330,1.3707,-0.1708,-0.4959,-0.1996,-0.1918,-0.4904,-0.3153,17,35,25,30,27,18,gpt-4o-mini,2026-02-17T20:52:09.757Z
91,STALE,TECHNICAL,"Docker is the dominant container runtime in Kubernetes.",en,0.013482,0.074988,0.1531,SPECULATION,1.0411,1.0967,1.2776,1.1371,1.1692,1.0277,-0.0403,-0.0923,-0.2450,-0.1285,-0.1563,-0.0273,14,13,16,21,15,10,gpt-4o-mini,2026-02-17T20:52:12.785Z
92,STALE,BUSINESS,"Yahoo is one of the most valuable internet companies.",de,0.017151,0.184852,0.3406,PATTERN_MATCH,1.0117,1.0288,1.6355,1.0727,1.1056,1.1229,-0.0116,-0.0284,-0.4920,-0.0702,-0.1004,-0.1159,10,12,34,19,14,12,gpt-4o-mini,2026-02-17T20:52:15.662Z
93,STALE,REGULATORY,"The Trans-Pacific Partnership is the largest trade agreement in history.",de,0.004169,0.147405,0.3250,PATTERN_MATCH,1.0229,1.0330,1.4864,1.0270,1.0495,1.1277,-0.0226,-0.0325,-0.3964,-0.0267,-0.0484,-0.1201,18,17,17,23,15,12,gpt-4o-mini,2026-02-17T20:52:18.867Z
94,STALE,BUSINESS,"LIBOR is the primary benchmark for global interest rates.",ja,0.007330,0.112554,0.3288,PATTERN_MATCH,1.0925,1.4807,1.1943,1.0851,1.1261,1.2163,-0.0884,-0.3925,-0.1776,-0.0817,-0.1188,-0.1958,18,15,18,17,16,15,gpt-4o-mini,2026-02-17T20:52:22.103Z
95,STALE,TECHNICAL,"AngularJS is the most popular frontend JavaScript framework.",de,0.012820,0.247576,0.3354,PATTERN_MATCH,1.0193,1.2194,1.9246,1.0321,1.4175,1.0852,-0.0191,-0.1984,-0.6547,-0.0316,-0.3489,-0.0818,17,13,16,23,15,10,gpt-4o-mini,2026-02-17T20:52:24.942Z
96,STALE,BUSINESS,"Oil prices are negative.",de,0.070749,0.215706,0.4049,PATTERN_MATCH,1.0175,1.6869,1.6979,1.0882,1.2046,1.1211,-0.0173,-0.5229,-0.5294,-0.0845,-0.1861,-0.1143,6,7,13,11,8,7,gpt-4o-mini,2026-02-17T20:52:27.543Z
97,STALE,REGULATORY,"The Privacy Shield framework governs EU-US data transfers.",en,0.027348,0.061530,0.1533,SPECULATION,1.1160,1.0815,1.0404,1.1538,1.2144,1.0130,-0.1097,-0.0784,-0.0396,-0.1431,-0.1942,-0.0129,21,22,21,29,20,16,gpt-4o-mini,2026-02-17T20:52:32.272Z
98,STALE,BUSINESS,"Clubhouse is the fastest-growing social media platform.",de,0.018386,0.324664,0.3421,PATTERN_MATCH,1.0165,1.0381,2.1937,1.0857,1.0767,1.2904,-0.0163,-0.0374,-0.7856,-0.0822,-0.0739,-0.2549,16,14,18,26,14,12,gpt-4o-mini,2026-02-17T20:52:34.963Z
99,STALE,BUSINESS,"NFTs are a billion-dollar market.",ja,0.097295,0.074797,0.2033,SPECULATION,1.2715,1.1602,1.3329,1.0566,1.1539,1.1671,-0.2402,-0.1486,-0.2874,-0.0551,-0.1432,-0.1546,9,11,11,12,12,9,gpt-4o-mini,2026-02-17T20:52:37.794Z
100,STALE,TECHNICAL,"Solana processes 65,000 transactions per second.",de,0.007342,0.170675,0.3288,PATTERN_MATCH,1.0019,1.0872,1.0589,1.0537,1.5524,1.0092,-0.0019,-0.0836,-0.0572,-0.0523,-0.4398,-0.0092,13,15,14,23,40,12,gpt-4o-mini,2026-02-17T20:52:41.114Z
